Who painted 'Girl with a Pearl Earring'?,Rembrandt,Johannes Vermeer,Peter Paul Rubens,Jan van Eyck,Hieronymus Bosch,B
What is the study of weather called?,Astronomy,Geology,Meteorology,Oceanography,Paleontology,C
Which country is home to the Great Barrier Reef?,USA,Australia,Canada,South Africa,India,B
Who wrote 'The Old Man and the Sea'?,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain,J.D. Salinger,B
What is the largest species of shark?,Great White Shark,Bull Shark,Hammerhead Shark,Tiger Shark,Whale Shark,E
Which planet has the shortest year?,Earth,Mars,Venus,Mercury,Jupiter,D
Who is known as the Father of Medicine?,Hippocrates,Aristotle,Plato,Socrates,Herophilos,A
What is the chemical symbol for Silver?,Ag,Au,Si,Al,Se,A
Which country is the Taj Mahal located in?,Pakistan,India,Bangladesh,Nepal,Sri Lanka,B
Who wrote 'Brave New World'?,George Orwell,Aldous Huxley,Ray Bradbury,Kurt Vonnegut,Philip K. Dick,B
What is the process by which plants release water vapor?,Photosynthesis,Transpiration,Respiration,Perspiration,Evaporation,B
Which city hosted the first modern Olympics?,Paris,Athens,London,St. Louis,Stockholm,B
Who is the Norse god of thunder?,Loki,Thor,Odin,Freyr,Balder,B
What is the primary ingredient in glass?,Sand,Clay,Metal,Wood,Plastic,A
Which country is known for inventing pizza?,France,USA,Greece,Italy,Spain,D
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,Charles Dickens,Thomas Hardy,George Eliot,Virginia Woolf,A
What is the smallest planet in our solar system?,Mars,Mercury,Venus,Pluto,Earth,B
Which organ is affected by hepatitis?,Heart,Lungs,Liver,Stomach,Kidneys,C
Who painted 'The Night Watch'?,Rembrandt,Johannes Vermeer,Peter Paul Rubens,Jan van Eyck,Hieronymus Bosch,A
What is the term for a word that imitates a sound?,Metaphor,Simile,Onomatopoeia,Alliteration,Personification,C
Which country has a dragon on its flag?,China,Wales,Bhutan,Nepal,Vietnam,C
Who wrote 'Frankenstein'?,Mary Shelley,Bram Stoker,Robert Louis Stevenson,Edgar Allan Poe,H.G. Wells,A
What is the largest artery in the human body?,Pulmonary Artery,Carotid Artery,Femoral Artery,Aorta,Subclavian Artery,D
Which planet is known as the Blue Planet?,Mars,Earth,Neptune,Uranus,Venus,B
Who is the chief god in Greek mythology?,Zeus,Hades,Poseidon,Ares,Apollo,A
What is the study of insects called?,Ornithology,Herpetology,Entomology,Ichthyology,Botany,C
Which country is the city of Casablanca located in?,Egypt,Morocco,Algeria,Tunisia,Libya,B
Who wrote 'The Metamorphosis'?,Franz Kafka,Hermann Hesse,Thomas Mann,Albert Camus,James Joyce,A
What is the chemical formula for water?,H2O,CO2,O2,N2,CH4,A
Which continent has the most countries?,Asia,Africa,Europe,South America,North America,B
Who is known as the Sun King?,Louis XIV,Henry VIII,Peter the Great,Charles V,Philip II,A
What is the term for animals that eat only plants?,Carnivores,Omnivores,Herbivores,Insectivores,Detritivores,C
Which city is the Louvre Museum located in?,Rome,Berlin,Paris,Madrid,London,C
Who developed the first successful polio vaccine?,Albert Sabin,Jonas Salk,Alexander Fleming,Louis Pasteur,Edward Jenner,B
What is the capital of Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,La Plata,A
Which gas makes up the majority of Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Helium,Argon,C
Who painted 'The Scream'?,Edvard Munch,Pablo Picasso,Salvador Dalí,Henri Matisse,Claude Monet,A
What is the process by which a caterpillar becomes a butterfly?,Metamorphosis,Photosynthesis,Transpiration,Respiration,Digestion,A
Which river is sacred to Hindus?,Nile,Amazon,Ganges,Danube,Mekong,C
Who wrote 'The Chronicles of Narnia'?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,Philip Pullman,George R.R. Martin,B
What is the basic unit of heredity?,Gene,Cell,DNA,Chromosome,RNA,A
Which country is famous for its fjords?,Denmark,Norway,Sweden,Finland,Iceland,B
Who is the Greek god of wine?,Zeus,Hades,Poseidon,Ares,Dionysus,E
What is the largest organ of the human body?,Liver,Heart,Skin,Lungs,Brain,C
Which planet is known as the Evening Star?,Mars,Venus,Jupiter,Saturn,Mercury,B
Who wrote 'The Count of Monte Cristo'?,Victor Hugo,Alexandre Dumas,Jules Verne,Honoré de Balzac,Gustave Flaubert,B
What is the chemical symbol for Iron?,Ir,Fe,In,F,Ii,B
Which desert is the driest place on Earth?,Sahara,Gobi,Kalahari,Atacama,Sonoran,D
Who is known as the Lady with the Lamp?,Florence Nightingale,Marie Curie,Clara Barton,Helen Keller,Amelia Earhart,A
What is the study of stars and planets called?,Geology,Biology,Astrology,Astronomy,Cosmology,D
Which country is home to the ancient city of Petra?,Egypt,Jordan,Turkey,Israel,Lebanon,B
Who wrote 'Don Quixote'?,Miguel de Cervantes,Federico García Lorca,Pablo Neruda,Octavio Paz,Garcilaso de la Vega,A
What is the hardest mineral?,Quartz,Topaz,Corundum,Diamond,Orthoclase,D
Which ocean borders the east coast of the United States?,Pacific,Atlantic,Indian,Arctic,Southern,B
Who is the Norse god of mischief?,Thor,Odin,Loki,Balder,Freyr,C
What is the process by which plants convert sunlight into energy?,Respiration,Digestion,Photosynthesis,Transpiration,Evaporation,C
Which city is known as the Eternal City?,Athens,Rome,Jerusalem,Cairo,Istanbul,B
Who wrote 'Moby-Dick'?,Herman Melville,Mark Twain,Ernest Hemingway,John Steinbeck,F. Scott Fitzgerald,A
What is the term for animals without backbones?,Vertebrates,Invertebrates,Mammals,Reptiles,Amphibians,B
Which country is the largest producer of coffee?,Vietnam,Brazil,Colombia,Indonesia,Ethiopia,B
Who painted 'American Gothic'?,Grant Wood,Edward Hopper,Norman Rockwell,Andrew Wyeth,Jackson Pollock,A
What is the largest coral reef system?,Red Sea Coral Reef,New Caledonia Barrier Reef,Mesoamerican Barrier Reef,Great Barrier Reef,Florida Reef,E
Which planet has the largest volcano?,Earth,Mars,Venus,Jupiter,Saturn,B
Who is the Roman goddess of love?,Juno,Minerva,Diana,Venus,Ceres,D
What is the term for a group of lions?,Pack,Herd,Pride,School,Swarm,C
Which country is home to Mount Kilimanjaro?,Kenya,Tanzania,Uganda,Rwanda,Burundi,B
Who wrote 'The Jungle Book'?,Rudyard Kipling,Lewis Carroll,Beatrix Potter,A.A. Milne,Hans Christian Andersen,A
What is the primary component of diamonds?,Carbon,Silicon,Iron,Gold,Platinum,A
Which river forms part of the border between the USA and Mexico?,Mississippi,Colorado,Rio Grande,Missouri,Arkansas,C
Who is the Greek god of music?,Zeus,Apollo,Hermes,Ares,Hephaestus,B
What is the smallest ocean?,Atlantic,Indian,Pacific,Arctic,Southern,D
Which city is known as the Windy City?,New York,Los Angeles,Chicago,Boston,San Francisco,C
Who wrote 'Dracula'?,Mary Shelley,Bram Stoker,Robert Louis Stevenson,Edgar Allan Poe,H.G. Wells,B
What is the term for the fear of spiders?,Acrophobia,Claustrophobia,Arachnophobia,Agoraphobia,Nyctophobia,C
Which country is known as the Pearl of the Orient Seas?,Thailand,Philippines,Malaysia,Vietnam,Indonesia,B
Who painted the ceiling of the Palace of Versailles' Hall of Mirrors?,Michelangelo,Peter Paul Rubens,Charles Le Brun,Jean-Baptiste Colbert,François Mansart,C
What is the most abundant metal in Earth's crust?,Iron,Aluminum,Copper,Gold,Silver,B
Which planet is tilted on its side?,Mars,Jupiter,Saturn,Uranus,Neptune,D
Who is the author of 'The Hobbit'?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,Philip Pullman,George R.R. Martin,A
What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu,Gwangju,A
Which element has the chemical symbol 'Pb'?,Platinum,Palladium,Lead,Polonium,Protactinium,C
Who wrote 'The Sound and the Fury'?,F. Scott Fitzgerald,William Faulkner,Ernest Hemingway,John Steinbeck,Tennessee Williams,B
What is the term for a baby goat?,Lamb,Calf,Kid,Joey,Fawn,C
