What is the capital of Australia?,Canberra,4,Sydney,Melbourne,Perth,Brisbane
Which country is famous for tulips and windmills?,Netherlands,4,Belgium,Denmark,Sweden,Norway
Who wrote 'The Divine Comedy'?,Dante Alighieri,4,Giovanni Boccaccio,Petrarch,Thomas Aquinas,Niccolò Machiavelli
What is the most abundant gas in Earth's atmosphere?,Nitrogen,4,Oxygen,Carbon Dioxide,Argon,Neon
Which river flows through London?,Thames,4,Seine,Rhine,Danube,Volga
Who is the founder of Microsoft?,Bill Gates,4,Steve Jobs,Mark Zuckerberg,Larry Page,Jeff Bezos
What is the largest bone in the human body?,Femur,4,Humerus,Tibia,Radius,Ulna
Which continent is the Amazon Rainforest located in?,South America,4,Africa,Asia,North America,Australia
Who composed 'Fur Elise'?,Ludwig van Beethoven,4,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Franz Schubert,Antonio Vivaldi
What is the currency of the United Kingdom?,Pound Sterling,4,Euro,Dollar,Yen,Franc
Which planet is known for its rings?,Saturn,4,Mars,Jupiter,Uranus,Neptune
Who discovered gravity when an apple fell on his head?,Isaac Newton,4,Albert Einstein,Galileo Galilei,Nikola Tesla,Stephen Hawking
What is the main language spoken in Brazil?,Portuguese,4,Spanish,English,French,Italian
Which country is home to the kangaroo?,Australia,4,New Zealand,South Africa,Canada,India
Who is known as the Bard of Avon?,William Shakespeare,4,Christopher Marlowe,Ben Jonson,John Donne,Edmund Spenser
What is the smallest continent?,Australia,4,Europe,Antarctica,South America,North America
Which element has the atomic number 1?,Hydrogen,4,Oxygen,Helium,Carbon,Nitrogen
Who painted 'The Persistence of Memory'?,Salvador Dalí,4,Pablo Picasso,Joan Miró,Frida Kahlo,Diego Rivera
What is the primary source of energy for Earth?,Sun,4,Moon,Stars,Wind,Geothermal
Which organ purifies blood in the human body?,Liver,4,Heart,Lungs,Stomach,Pancreas
Who wrote 'To Kill a Mockingbird'?,Harper Lee,4,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck
What is the largest continent?,Asia,4,Africa,North America,South America,Europe
Which gas is essential for human respiration?,Oxygen,4,Nitrogen,Carbon Dioxide,Helium,Argon
Who is the Roman god of war?,Mars,4,Jupiter,Neptune,Venus,Saturn
What is the term for animals that eat both plants and meat?,Omnivores,4,Herbivores,Carnivores,Insectivores,Detritivores
Which city is known as the Big Apple?,New York City,4,Los Angeles,Chicago,Boston,San Francisco
Who developed the polio vaccine?,Jonas Salk,4,Alexander Fleming,Louis Pasteur,Edward Jenner,Robert Koch
What is the process of water cycle from plants to atmosphere?,Transpiration,4,Evaporation,Condensation,Precipitation,Sublimation
Which country is famous for the pyramids?,Egypt,4,Greece,Peru,Mexico,China
Who wrote 'The Raven'?,Edgar Allan Poe,4,Robert Frost,Walt Whitman,Emily Dickinson,Henry Wadsworth Longfellow
What is the largest internal organ in the human body?,Liver,4,Heart,Lungs,Stomach,Kidneys
Which planet is known as the Earth's twin?,Venus,4,Mars,Jupiter,Saturn,Neptune
Who is the author of 'The Lord of the Rings'?,J.R.R. Tolkien,4,J.K. Rowling,C.S. Lewis,George R.R. Martin,Philip Pullman
What is the primary gas in the sun?,Hydrogen,4,Oxygen,Carbon Dioxide,Helium,Nitrogen
Which city hosted the 2008 Summer Olympics?,Beijing,4,London,Rio de Janeiro,Athens,Sydney
Who discovered the circulation of blood?,William Harvey,4,Louis Pasteur,Edward Jenner,Alexander Fleming,Joseph Lister
What is the capital of Canada?,Ottawa,4,Toronto,Vancouver,Montreal,Calgary
Which instrument measures atmospheric pressure?,Barometer,4,Thermometer,Hygrometer,Anemometer,Altimeter
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,4,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Mark Twain
What is the largest type of deer?,Moose,4,Reindeer,White-tailed deer,Elk,Red deer
Which chemical element has the symbol 'K'?,Potassium,4,Calcium,Iron,Sodium,Copper
Who painted 'Guernica'?,Pablo Picasso,4,Salvador Dalí,Joan Miró,Diego Rivera,Henri Matisse
What is the term for a word that is the same forwards and backwards?,Palindrome,4,Anagram,Oxymoron,Alliteration,Metaphor
Which country is known as the Land of a Thousand Lakes?,Finland,4,Norway,Sweden,Canada,Russia
Who is the Greek goddess of love?,Aphrodite,4,Hera,Athena,Artemis,Demeter
What is the process by which cells divide?,Mitosis,4,Photosynthesis,Meiosis,Respiration,Transpiration
Which river is the longest in Europe?,Volga,4,Danube,Rhine,Seine,Elbe
Who invented the World Wide Web?,Tim Berners-Lee,4,Bill Gates,Steve Jobs,Mark Zuckerberg,Larry Page
What is the largest landlocked country?,Kazakhstan,4,Mongolia,Niger,Chad,Bolivia
Which instrument has keys， pedals， and strings?,Piano,4,Guitar,Violin,Flute,Drums
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,4,Ernest Hemingway,John Steinbeck,Mark Twain,J.D. Salinger
What is the smallest unit of life?,Cell,4,Organ,Tissue,Organism,Organ System
Which ocean is the deepest?,Pacific,4,Atlantic,Indian,Arctic,Southern
Who is the father of modern physics?,Albert Einstein,4,Isaac Newton,Galileo Galilei,Nikola Tesla,Stephen Hawking
What is the capital of Egypt?,Cairo,4,Alexandria,Giza,Luxor,Aswan
Which planet has a day longer than its year?,Venus,4,Mercury,Mars,Jupiter,Saturn
Who wrote 'Les Misérables'?,Victor Hugo,4,Gustave Flaubert,Émile Zola,Alexandre Dumas,Honoré de Balzac
What is the most abundant element in the universe?,Hydrogen,4,Helium,Oxygen,Carbon,Nitrogen
Which country has the most volcanoes?,Indonesia,4,Japan,USA,Philippines,Italy
Who painted 'The Birth of Venus'?,Sandro Botticelli,4,Leonardo da Vinci,Raphael,Michelangelo,Caravaggio
What is the process of converting liquid to gas?,Evaporation,4,Condensation,Sublimation,Deposition,Precipitation
Which organelle is known as the powerhouse of the cell?,Mitochondria,4,Nucleus,Ribosome,Chloroplast,Golgi Apparatus
Who is the main author of the Declaration of Independence?,Thomas Jefferson,4,Benjamin Franklin,John Adams,James Madison,Alexander Hamilton
What is the capital of Thailand?,Bangkok,4,Phuket,Chiang Mai,Patong,Pattaya
Which gas is used in balloons to make them float?,Helium,4,Hydrogen,Nitrogen,Oxygen,Argon
Who wrote 'The Iliad'?,Homer,4,Virgil,Ovid,Sophocles,Euripides
What is the largest island in the world?,Greenland,4,Madagascar,Borneo,New Guinea,Iceland
Which planet is known for its Great Red Spot?,Jupiter,4,Mars,Saturn,Uranus,Neptune
Who is the first woman to win a Nobel Prize?,Marie Curie,4,Jane Addams,Irène Joliot-Curie,Bertha von Suttner,Malala Yousafzai
What is the hardest rock?,Diamond,4,Marble,Granite,Quartz,Sapphire
Which city is known as the City of Love?,Paris,4,Venice,Rome,Barcelona,Prague
Who composed the opera 'The Magic Flute'?,Wolfgang Amadeus Mozart,4,Ludwig van Beethoven,Johann Sebastian Bach,Giuseppe Verdi,Richard Wagner
What is the smallest particle of an element?,Atom,4,Molecule,Electron,Proton,Neutron
Which country is called the Land of Fire and Ice?,Iceland,4,Greenland,Norway,Finland,Sweden
Who wrote 'War and Peace'?,Leo Tolstoy,4,Fyodor Dostoevsky,Anton Chekhov,Ivan Turgenev,Nikolai Gogol
What is the term for animals active during the day?,Diurnal,4,Nocturnal,Crepuscular,Matutinal,Vespertine
Which river runs through Paris?,Seine,4,Thames,Danube,Rhine,Elbe
Who is the Greek god of the underworld?,Hades,4,Zeus,Poseidon,Ares,Apollo
What is the chemical formula for table salt?,NaCl,4,H2O,CO2,O2,C6H12O6
Which desert covers much of northern Africa?,Sahara,4,Gobi,Kalahari,Atacama,Sonoran
Who is the author of 'A Brief History of Time'?,Stephen Hawking,4,Carl Sagan,Neil deGrasse Tyson,Richard Feynman,Brian Greene
What is the tallest waterfall in the world?,Angel Falls,4,Niagara Falls,Victoria Falls,Iguazu Falls,Yosemite Falls
Which planet is known as the Morning Star?,Venus,4,Mars,Jupiter,Saturn,Mercury
Who painted 'The School of Athens'?,Raphael,4,Leonardo da Vinci,Michelangelo,Donatello,Sandro Botticelli
What is the study of fungi called?,Mycology,4,Botany,Zoology,Entomology,Ornithology
Which is the longest bone in the human body?,Femur,4,Humerus,Tibia,Fibula,Radius
Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,4,Jorge Luis Borges,Mario Vargas Llosa,Isabel Allende,Pablo Neruda
What is the most widely spoken language in South America?,Spanish,4,English,Portuguese,French,Dutch
Which organ is responsible for pumping blood?,Heart,4,Lungs,Brain,Liver,Kidneys
Who is known as the Maid of Orléans?,Joan of Arc,4,Queen Elizabeth I,Catherine the Great,Marie Antoinette,Anne Boleyn
What is the term for a baby kangaroo?,Joey,4,Calf,Pup,Fawn,Cub
Which country has the Maple Leaf as its national symbol?,Canada,4,USA,UK,Australia,New Zealand
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,4,Leo Tolstoy,Anton Chekhov,Ivan Turgenev,Nikolai Gogol
What is the main component of the sun?,Hydrogen,4,Helium,Oxygen,Carbon,Nitrogen
Which city is famous for its canals?,Venice,4,Paris,London,Berlin,Barcelona
Who developed the theory of psychoanalysis?,Sigmund Freud,4,Carl Jung,Alfred Adler,Erik Erikson,Jean Piaget
What is the capital of Spain?,Madrid,4,Barcelona,Seville,Valencia,Bilbao
Which element has the highest atomic number?,Oganesson,4,Uranium,Plutonium,Lawrencium,Fermium
Who painted 'Girl with a Pearl Earring'?,Johannes Vermeer,4,Rembrandt,Peter Paul Rubens,Jan van Eyck,Hieronymus Bosch
What is the study of weather called?,Meteorology,4,Astronomy,Geology,Oceanography,Paleontology
Which country is home to the Great Barrier Reef?,Australia,4,USA,Canada,South Africa,India
Who wrote 'The Old Man and the Sea'?,Ernest Hemingway,4,F. Scott Fitzgerald,John Steinbeck,Mark Twain,J.D. Salinger
What is the largest species of shark?,Whale Shark,4,Great White Shark,Bull Shark,Hammerhead Shark,Tiger Shark
Which planet has the shortest year?,Mercury,4,Earth,Mars,Venus,Jupiter
Who is known as the Father of Medicine?,Hippocrates,4,Aristotle,Plato,Socrates,Herophilos
What is the chemical symbol for Silver?,Ag,4,Au,Si,Al,Se
Which country is the Taj Mahal located in?,India,4,Pakistan,Bangladesh,Nepal,Sri Lanka
Who wrote 'Brave New World'?,Aldous Huxley,4,George Orwell,Ray Bradbury,Kurt Vonnegut,Philip K. Dick
What is the process by which plants release water vapor?,Transpiration,4,Photosynthesis,Respiration,Perspiration,Evaporation
Which city hosted the first modern Olympics?,Athens,4,Paris,London,St. Louis,Stockholm
Who is the Norse god of thunder?,Thor,4,Loki,Odin,Freyr,Balder
What is the primary ingredient in glass?,Sand,4,Clay,Metal,Wood,Plastic
Which country is known for inventing pizza?,Italy,4,France,USA,Greece,Spain
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,4,Charles Dickens,Thomas Hardy,George Eliot,Virginia Woolf
What is the smallest planet in our solar system?,Mercury,4,Mars,Venus,Pluto,Earth
Which organ is affected by hepatitis?,Liver,4,Heart,Lungs,Stomach,Kidneys
Who painted 'The Night Watch'?,Rembrandt,4,Johannes Vermeer,Peter Paul Rubens,Jan van Eyck,Hieronymus Bosch
What is the term for a word that imitates a sound?,Onomatopoeia,4,Metaphor,Simile,Alliteration,Personification
Which country has a dragon on its flag?,Bhutan,4,China,Wales,Nepal,Vietnam
Who wrote 'Frankenstein'?,Mary Shelley,4,Bram Stoker,Robert Louis Stevenson,Edgar Allan Poe,H.G. Wells
What is the largest artery in the human body?,Aorta,4,Pulmonary Artery,Carotid Artery,Femoral Artery,Subclavian Artery
Which planet is known as the Blue Planet?,Earth,4,Mars,Neptune,Uranus,Venus
Who is the chief god in Greek mythology?,Zeus,4,Hades,Poseidon,Ares,Apollo
What is the study of insects called?,Entomology,4,Ornithology,Herpetology,Ichthyology,Botany
Which country is the city of Casablanca located in?,Morocco,4,Egypt,Algeria,Tunisia,Libya
Who wrote 'The Metamorphosis'?,Franz Kafka,4,Hermann Hesse,Thomas Mann,Albert Camus,James Joyce
What is the chemical formula for water?,H2O,4,CO2,O2,N2,CH4
Which continent has the most countries?,Africa,4,Asia,Europe,South America,North America
Who is known as the Sun King?,Louis XIV,4,Henry VIII,Peter the Great,Charles V,Philip II
What is the term for animals that eat only plants?,Herbivores,4,Carnivores,Omnivores,Insectivores,Detritivores
Which city is the Louvre Museum located in?,Paris,4,Rome,Berlin,Madrid,London
Who developed the first successful polio vaccine?,Jonas Salk,4,Albert Sabin,Alexander Fleming,Louis Pasteur,Edward Jenner
What is the capital of Argentina?,Buenos Aires,4,Córdoba,Rosario,Mendoza,La Plata
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,4,Oxygen,Carbon Dioxide,Helium,Argon
Who painted 'The Scream'?,Edvard Munch,4,Pablo Picasso,Salvador Dalí,Henri Matisse,Claude Monet
What is the process by which a caterpillar becomes a butterfly?,Metamorphosis,4,Photosynthesis,Transpiration,Respiration,Digestion
Which river is sacred to Hindus?,Ganges,4,Nile,Amazon,Danube,Mekong
Who wrote 'The Chronicles of Narnia'?,C.S. Lewis,4,J.R.R. Tolkien,J.K. Rowling,Philip Pullman,George R.R. Martin
What is the basic unit of heredity?,Gene,4,Cell,DNA,Chromosome,RNA
Which country is famous for its fjords?,Norway,4,Denmark,Sweden,Finland,Iceland
Who is the Greek god of wine?,Dionysus,4,Zeus,Hades,Poseidon,Ares
What is the largest organ of the human body?,Skin,4,Liver,Heart,Lungs,Brain
Which planet is known as the Evening Star?,Venus,4,Mars,Jupiter,Saturn,Mercury
Who wrote 'The Count of Monte Cristo'?,Alexandre Dumas,4,Victor Hugo,Jules Verne,Honoré de Balzac,Gustave Flaubert
What is the chemical symbol for Iron?,Fe,4,Ir,In,F,Ii
Which desert is the driest place on Earth?,Atacama,4,Sahara,Gobi,Kalahari,Sonoran
Who is known as the Lady with the Lamp?,Florence Nightingale,4,Marie Curie,Clara Barton,Helen Keller,Amelia Earhart
What is the study of stars and planets called?,Astronomy,4,Geology,Biology,Astrology,Cosmology
Which country is home to the ancient city of Petra?,Jordan,4,Egypt,Turkey,Israel,Lebanon
Who wrote 'Don Quixote'?,Miguel de Cervantes,4,Federico García Lorca,Pablo Neruda,Octavio Paz,Garcilaso de la Vega
What is the hardest mineral?,Diamond,4,Quartz,Topaz,Corundum,Orthoclase
Which ocean borders the east coast of the United States?,Atlantic,4,Pacific,Indian,Arctic,Southern
Who is the Norse god of mischief?,Loki,4,Thor,Odin,Balder,Freyr
What is the process by which plants convert sunlight into energy?,Photosynthesis,4,Respiration,Digestion,Transpiration,Evaporation
Which city is known as the Eternal City?,Rome,4,Athens,Jerusalem,Cairo,Istanbul
Who wrote 'Moby-Dick'?,Herman Melville,4,Mark Twain,Ernest Hemingway,John Steinbeck,F. Scott Fitzgerald
What is the term for animals without backbones?,Invertebrates,4,Vertebrates,Mammals,Reptiles,Amphibians
Which country is the largest producer of coffee?,Brazil,4,Vietnam,Colombia,Indonesia,Ethiopia
Who painted 'American Gothic'?,Grant Wood,4,Edward Hopper,Norman Rockwell,Andrew Wyeth,Jackson Pollock
What is the largest coral reef system?,Florida Reef,4,Red Sea Coral Reef,New Caledonia Barrier Reef,Mesoamerican Barrier Reef,Great Barrier Reef
Which planet has the largest volcano?,Mars,4,Earth,Venus,Jupiter,Saturn
Who is the Roman goddess of love?,Venus,4,Juno,Minerva,Diana,Ceres
What is the term for a group of lions?,Pride,4,Pack,Herd,School,Swarm
Which country is home to Mount Kilimanjaro?,Tanzania,4,Kenya,Uganda,Rwanda,Burundi
Who wrote 'The Jungle Book'?,Rudyard Kipling,4,Lewis Carroll,Beatrix Potter,A.A. Milne,Hans Christian Andersen
What is the primary component of diamonds?,Carbon,4,Silicon,Iron,Gold,Platinum
Which river forms part of the border between the USA and Mexico?,Rio Grande,4,Mississippi,Colorado,Missouri,Arkansas
Who is the Greek god of music?,Apollo,4,Zeus,Hermes,Ares,Hephaestus
What is the smallest ocean?,Arctic,4,Atlantic,Indian,Pacific,Southern
Which city is known as the Windy City?,Chicago,4,New York,Los Angeles,Boston,San Francisco
Who wrote 'Dracula'?,Bram Stoker,4,Mary Shelley,Robert Louis Stevenson,Edgar Allan Poe,H.G. Wells
What is the term for the fear of spiders?,Arachnophobia,4,Acrophobia,Claustrophobia,Agoraphobia,Nyctophobia
Which country is known as the Pearl of the Orient Seas?,Philippines,4,Thailand,Malaysia,Vietnam,Indonesia
Who painted the ceiling of the Palace of Versailles' Hall of Mirrors?,Charles Le Brun,4,Michelangelo,Peter Paul Rubens,Jean-Baptiste Colbert,François Mansart
What is the most abundant metal in Earth's crust?,Aluminum,4,Iron,Copper,Gold,Silver
Which planet is tilted on its side?,Uranus,4,Mars,Jupiter,Saturn,Neptune
Who is the author of 'The Hobbit'?,J.R.R. Tolkien,4,C.S. Lewis,J.K. Rowling,Philip Pullman,George R.R. Martin
What is the capital of South Korea?,Seoul,4,Busan,Incheon,Daegu,Gwangju
Which element has the chemical symbol 'Pb'?,Lead,4,Platinum,Palladium,Polonium,Protactinium
Who wrote 'The Sound and the Fury'?,William Faulkner,4,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Tennessee Williams
What is the term for a baby goat?,Kid,4,Lamb,Calf,Joey,Fawn
